Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.00599999999999998	0	0.004	0.00700000000000001	0	0.001	0.012	0.00799999999999998	0.025	0.00900000000000001	0.017	0.00800000000000001	0	0	0.032	0.032	0.035	0.021	0.00899999999999998	0.00799999999999998	0.015	0.034	0.026	0.013	0	0	0.028	0.021	0.06	0.024	0.023	0.00699999999999998	0.033	0.014	0.021	0.014	0.00600000000000001	0	0.001	0.035	0.049	0.036	0.043	0.00799999999999998	0.00899999999999998	0.00599999999999998	0.00600000000000001	0	0.003	0	0.003	0.051	0.067	0.05	0.045	0.011	0.00499999999999998	0.01	0.005	0.004	0.003	0	0.028	0.056	0.07	0.049	0.038	0.00499999999999998	0.012	0.00799999999999998	0.003	0	0.02	0.004	0.00899999999999998	0.033	0.028	0.021	0.00600000000000001	0.021	0.003	0.00999999999999998	0	0.001	0.027	0.012	0.016	0	0	0	0	0	0	0.005	0.002	0.003
0.5275	0.00599999999999998	0.013	0.00600000000000001	0.003	0.003	0.002	0.00799999999999998	0.00600000000000001	0.013	0.004	0.00900000000000001	0.005	0.003	0.012	0.042	0.058	0.058	0.039	0.025	0.023	0.025	0.026	0.00900000000000001	0.00899999999999998	0.001	0.012	0.045	0.088	0.105	0.08	0.076	0.04	0.05	0.022	0.00900000000000001	0.01	0.002	0.011	0.039	0.103	0.113	0.107	0.117	0.074	0.047	0.021	0.00800000000000001	0.003	0.004	0.018	0.055	0.118	0.129	0.125	0.115	0.084	0.049	0.02	0.004	0.004	0.014	0.033	0.089	0.114	0.126	0.111	0.106	0.062	0.045	0.021	0.005	0.002	0.019	0.044	0.068	0.095	0.089	0.075	0.054	0.042	0.013	0.013	0.00799999999999998	0.00700000000000001	0.00499999999999998	0.026	0.05	0.033	0.039	0.031	0.016	0.00800000000000001	0	0.005	0.00900000000000001	0.00899999999999998
1.055	0.00699999999999998	0.014	0.013	0.005	0.002	0.001	0.00899999999999998	0.002	0.00700000000000001	0.001	0.002	0	0.005	0.005	0.015	0.022	0.028	0.00800000000000001	0.00399999999999998	0.002	0.001	0	0	0.001	0.00800000000000001	0.005	0.018	0.059	0.056	0.058	0.039	0.012	0.00799999999999998	0	0	0.002	0.00600000000000001	0.00600000000000001	0.024	0.1	0.118	0.113	0.081	0.034	0.00999999999999998	0.00399999999999998	0	0	0	0.018	0.036	0.113	0.123	0.104	0.072	0.058	0.014	0.003	0.005	0	0.00799999999999998	0.02	0.065	0.103	0.117	0.104	0.072	0.032	0.019	0.00599999999999998	0	0	0.005	0.022	0.04	0.071	0.07	0.061	0.038	0.022	0.014	0.00599999999999998	0	0.003	0	0	0.011	0.024	0.027	0.024	0.026	0.027	0.00900000000000001	0.016	0.013	0.00799999999999998
1.5825	0	0.00700000000000001	0	0	0	0.001	0.003	0.001	0.004	0	0	0.002	0.001	0.002	0.002	0.005	0.003	0.001	0.002	0	0	0.001	0.001	0	0.003	0.003	0.001	0.012	0.013	0.00999999999999998	0.00299999999999997	0	0	0	0	0	0	0.005	0.005	0.05	0.079	0.067	0.013	0.001	0	0	0.001	0.001	0.00900000000000001	0.015	0.00899999999999998	0.072	0.103	0.065	0.00900000000000001	0.002	0.002	0	0	0.002	0.00799999999999998	0.013	0.025	0.071	0.093	0.056	0.031	0.00499999999999998	0	0	0	0.001	0.012	0.015	0.018	0.037	0.04	0.032	0.015	0.00900000000000001	0	0	0	0	0.017	0.00600000000000001	0	0.022	0.025	0.023	0.021	0.016	0.002	0	0	0
2.10972222222222	0.00299999999999997	0.00700000000000001	0	0.003	0.001	0	0.002	0.003	0.002	0.001	0.003	0.005	0.004	0.002	0	0.001	0.002	0.001	0.002	0	0.001	0.002	0.003	0.00599999999999998	0.001	0.003	0	0.00299999999999997	0.003	0.00199999999999997	0.000999999999999973	0	0.001	0.002	0.003	0.005	0.00900000000000001	0.00700000000000001	0.003	0.00899999999999998	0.028	0.003	0.00399999999999998	0	0.003	0.002	0.003	0.00900000000000001	0.005	0.014	0.012	0.031	0.067	0.017	0.003	0	0	0.002	0.003	0.00900000000000001	0.012	0.00999999999999998	0.00899999999999998	0.039	0.06	0.024	0.00599999999999998	0	0.002	0.001	0.001	0.00600000000000001	0.017	0.017	0.011	0.017	0.017	0.015	0	0	0.002	0.003	0	0.002	0.02	0.01	0	0.023	0.03	0.032	0.026	0.015	0.00700000000000001	0.00700000000000001	0.00700000000000001	0.00399999999999998
2.63694444444444	0.00499999999999998	0.012	0.005	0.003	0.003	0.004	0.00600000000000001	0.005	0.00700000000000001	0.005	0.00600000000000001	0.012	0.00800000000000001	0.00800000000000001	0.004	0.005	0.004	0.00600000000000001	0.00499999999999998	0.00499999999999998	0.005	0.00699999999999998	0.00900000000000001	0.014	0.013	0.015	0.00700000000000001	0.00299999999999997	0.002	0.00499999999999998	0.00299999999999997	0.00199999999999997	0.005	0.00800000000000001	0.012	0.015	0.00900000000000001	0.00700000000000001	0.002	0.00499999999999998	0	0.00499999999999998	0.00599999999999998	0.00499999999999998	0.00899999999999998	0.011	0.01	0.024	0.00900000000000001	0.011	0.00499999999999998	0.00600000000000001	0.018	0.001	0.004	0.00700000000000001	0.00599999999999998	0.00700000000000001	0.013	0.024	0.001	0.00499999999999998	0.004	0.015	0.039	0.00399999999999998	0.000999999999999973	0.00599999999999998	0.013	0.012	0.015	0.025	0.001	0	0.00299999999999997	0.004	0.00599999999999998	0	0.002	0.015	0.018	0.023	0.022	0.031	0.016	0.01	0.00899999999999998	0.018	0.025	0.03	0.03	0.03	0.025	0.027	0.034	0.038
3.16444444444444	0.00499999999999998	0.014	0.014	0.00700000000000001	0.004	0.002	0.00600000000000001	0.003	0.005	0.002	0.004	0.018	0.00900000000000001	0.005	0.00600000000000001	0.012	0.005	0.002	0.00399999999999998	0.004	0.002	0.003	0.00800000000000001	0.027	0.012	0.011	0.00700000000000001	0.00499999999999998	0.003	0.00699999999999998	0.00199999999999997	0.001	0.003	0.005	0.011	0.034	0.017	0.00800000000000001	0.00900000000000001	0.00899999999999998	0.00899999999999998	0.00799999999999998	0.00799999999999998	0.002	0.00600000000000001	0.00799999999999998	0.018	0.055	0.00700000000000001	0.00900000000000001	0.00499999999999998	0.012	0.012	0.019	0.01	0.00999999999999998	0.00799999999999998	0.01	0.031	0.064	0.014	0.013	0.00799999999999998	0.005	0.019	0.025	0.00899999999999998	0.00799999999999998	0.018	0.027	0.045	0.067	0.012	0.00799999999999998	0.00699999999999998	0.011	0.012	0.023	0.024	0.03	0.049	0.07	0.063	0.067	0.055	0.046	0.041	0.065	0.078	0.094	0.099	0.092	0.093	0.098	0.084	0.075
3.69166666666667	0.000999999999999973	0.00700000000000001	0.001	0.005	0.002	0.002	0.003	0.003	0.002	0.002	0.00600000000000001	0.038	0.003	0.004	0.001	0	0	0.001	0.00299999999999997	0.002	0.001	0.004	0.013	0.054	0.00700000000000001	0.00900000000000001	0.002	0	0	0	0	0	0.002	0.00800000000000001	0.018	0.073	0.00700000000000001	0.004	0	0	0	0	0.001	0.003	0.004	0.00999999999999998	0.036	0.11	0.003	0.00800000000000001	0	0	0	0	0.001	0.004	0.00799999999999998	0.019	0.061	0.13	0	0.004	0	0	0	0	0	0.011	0.031	0.055	0.105	0.143	0	0.001	0	0	0	0	0.02	0.051	0.089	0.128	0.147	0.151	0.106	0.107	0.101	0.122	0.136	0.144	0.152	0.153	0.154	0.162	0.167	0.16
4.21916666666667	0.000999999999999973	0.01	0.005	0.00700000000000001	0.00699999999999998	0.004	0.00600000000000001	0.005	0.00800000000000001	0.005	0.012	0.079	0.013	0.00600000000000001	0.003	0.003	0.003	0.003	0.00499999999999998	0.00499999999999998	0.00600000000000001	0.00600000000000001	0.02	0.114	0.014	0.011	0.00700000000000001	0.00399999999999998	0.001	0.00199999999999997	0.00199999999999997	0.00199999999999997	0.00699999999999998	0.011	0.032	0.153	0.018	0.013	0.00700000000000001	0.00499999999999998	0.001	0	0	0.003	0.00899999999999998	0.015	0.072	0.183	0.025	0.025	0.013	0.00899999999999998	0.00600000000000001	0.003	0	0.005	0.011	0.04	0.121	0.224	0.036	0.022	0.012	0.00799999999999998	0.00800000000000001	0.00499999999999998	0.000999999999999973	0.016	0.056	0.11	0.166	0.209	0.021	0.015	0.016	0.02	0.00899999999999998	0.015	0.052	0.105	0.168	0.21	0.207	0.202	0.221	0.212	0.206	0.212	0.218	0.221	0.22	0.222	0.222	0.226	0.224	0.207
4.74638888888889	0.00299999999999997	0.00800000000000001	0.005	0.017	0.015	0.004	0.005	0.00600000000000001	0.00600000000000001	0.005	0.015	0.144	0.005	0.00600000000000001	0.00700000000000001	0.014	0.00900000000000001	0.003	0.00699999999999998	0.00699999999999998	0.00700000000000001	0.004	0.03	0.209	0.011	0.00900000000000001	0.005	0.00899999999999998	0.011	0.00799999999999998	0.00399999999999998	0.00399999999999998	0.00699999999999998	0.014	0.049	0.203	0.023	0.015	0.012	0.011	0.00799999999999998	0.00699999999999998	0.00399999999999998	0.00599999999999998	0.011	0.024	0.132	0.252	0.021	0.024	0.017	0.011	0.011	0.00799999999999998	0.002	0.00799999999999998	0.018	0.076	0.212	0.291	0.028	0.021	0.015	0.012	0.00999999999999998	0.00699999999999998	0.00499999999999998	0.025	0.103	0.197	0.225	0.268	0.024	0.018	0.013	0.018	0.015	0.033	0.102	0.19	0.219	0.282	0.26	0.26	0.252	0.262	0.29	0.274	0.277	0.271	0.299	0.289	0.296	0.303	0.298	0.298
